ID	sale	rent	atr	area	product_focus	consumer_type	type
1	81931	350	16	212	2	3	2
2	91639	170	45	288	2	3	1
3	357892	442	97	290	1	3	1
4	534388	1044	63	499	2	3	2
5	108297	193	24	477	1	3	2
6	9763	16	11	350	3	2	2
7	207899	916	58	153	3	1	2
8	5891	7	17	54	2	3	1
9	50919	67	6	442	3	1	2
10	92986	262	49	206	3	1	1
11	419557	711	43	411	3	3	2
12	324862	905	81	480	3	3	2
13	112493	144	29	181	3	2	2
14	34799	80	93	190	2	2	2
15	30171	34	23	481	3	1	1
16	478366	671	70	286	2	1	2
17	306632	376	70	277	2	3	1
18	139432	179	37	278	1	3	1
19	160538	868	31	366	3	3	1
20	228998	636	75	140	2	3	2
21	115473	276	74	86	1	3	2
22	109271	138	82	224	3	1	1
23	63242	89	36	166	3	3	1
